Component Name,File Path,Compatibility Level,Total Issues,Blocking Issues,High Issues,Auto-fixable Issues,Uses Hooks,Browser APIs,DOM Access,Can be Server Side,Refactoring Actions
DateInput.schema,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/DateInput/DateInput.schema.ts,fully-compatible,0,0,0,0,false,false,false,true,0
DateInput.server,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/DateInput/DateInput.server.tsx,fully-compatible,0,0,0,0,false,false,false,true,0
DateInput,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/DateInput/DateInput.tsx,fully-compatible,0,0,0,0,true,false,false,true,0
DateInput.types,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/DateInput/DateInput.types.ts,fully-compatible,0,0,0,0,false,false,false,true,0
Details.schema,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/Details/Details.schema.ts,fully-compatible,0,0,0,0,false,false,false,true,0
Details,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/Details/Details.tsx,fully-compatible,0,0,0,0,false,false,false,true,0
DoDontList,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/DoDontList/DoDontList.tsx,fully-compatible,0,0,0,0,false,false,false,true,0
ErrorMessage.schema,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/ErrorMessage/ErrorMessage.schema.ts,fully-compatible,0,0,0,0,false,false,false,true,0
ErrorMessage,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/ErrorMessage/ErrorMessage.tsx,fully-compatible,0,0,0,0,false,false,false,true,0
ErrorMessage.types,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/ErrorMessage/ErrorMessage.types.ts,fully-compatible,0,0,0,0,false,false,false,true,0
ErrorSummary.schema,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/ErrorSummary/ErrorSummary.schema.ts,fully-compatible,0,0,0,0,false,false,false,true,0
ErrorSummary.server,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/ErrorSummary/ErrorSummary.server.tsx,fully-compatible,0,0,0,0,false,false,false,true,0
ErrorSummary,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/ErrorSummary/ErrorSummary.tsx,fully-compatible,1,0,0,0,true,false,false,true,0
ErrorSummary.types,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/ErrorSummary/ErrorSummary.types.ts,fully-compatible,0,0,0,0,false,false,false,true,0
Expander,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/Expander/Expander.tsx,fully-compatible,0,0,0,0,false,false,false,true,0
Fieldset.schema,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/Fieldset/Fieldset.schema.ts,fully-compatible,0,0,0,0,false,false,false,true,0
Fieldset,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/Fieldset/Fieldset.tsx,fully-compatible,0,0,0,0,false,false,false,true,0
Fieldset.types,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/Fieldset/Fieldset.types.ts,fully-compatible,0,0,0,0,false,false,false,true,0
FontDebugger,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/FontDebugger.tsx,requires-refactoring,5,3,0,3,true,true,false,false,1
Footer,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/Footer/Footer.tsx,fully-compatible,0,0,0,0,false,false,false,true,0
Footer.types,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/Footer/Footer.types.ts,fully-compatible,0,0,0,0,false,false,false,true,0
GanttChart-new,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/GanttChart/GanttChart-new.tsx,fully-compatible,0,0,0,0,false,false,false,true,0
GanttChart,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/GanttChart/GanttChart.tsx,requires-refactoring,14,8,4,12,true,true,true,false,2
TaskBar-new,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/GanttChart/TaskBar-new.tsx,fully-compatible,0,0,0,0,false,false,false,true,0
TaskBar,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/GanttChart/TaskBar.tsx,fully-compatible,0,0,0,0,true,false,false,true,0
Grid.types,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/Grid/Grid.types.ts,fully-compatible,0,0,0,0,false,false,false,true,0
Header.render.server,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/Header/Header.render.server.tsx,fully-compatible,0,0,0,0,false,false,false,true,0
Header.render,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/Header/Header.render.tsx,fully-compatible,0,0,0,0,false,false,false,true,0
Header.server,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/Header/Header.server.tsx,fully-compatible,0,0,0,0,false,false,false,true,0
Header,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/Header/Header.tsx,requires-refactoring,13,6,2,9,true,true,true,false,2
Header.types,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/Header/Header.types.ts,fully-compatible,0,0,0,0,false,false,false,true,0
HeaderSearch,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/HeaderSearch/HeaderSearch.tsx,compatible-with-hydration,1,0,0,0,true,true,false,false,0
HeaderSearch.types,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/HeaderSearch/HeaderSearch.types.ts,fully-compatible,0,0,0,0,false,false,false,true,0
Heading.schema,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/Heading/Heading.schema.ts,fully-compatible,0,0,0,0,false,false,false,true,0
Heading,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/Heading/Heading.tsx,fully-compatible,0,0,0,0,false,false,false,true,0
Heading.types,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/Heading/Heading.types.ts,fully-compatible,0,0,0,0,false,false,false,true,0
Hero,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/Hero/Hero.tsx,fully-compatible,0,0,0,0,false,false,false,true,0
Hero.types,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/Hero/Hero.types.ts,fully-compatible,0,0,0,0,false,false,false,true,0
Hint.schema,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/Hint/Hint.schema.ts,fully-compatible,0,0,0,0,false,false,false,true,0
Hint,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/Hint/Hint.tsx,fully-compatible,0,0,0,0,false,false,false,true,0
Hint.types,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/Hint/Hint.types.ts,fully-compatible,0,0,0,0,false,false,false,true,0
Images,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/Images/Images.tsx,fully-compatible,0,0,0,0,false,false,false,true,0
Input.schema,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/Input/Input.schema.ts,fully-compatible,0,0,0,0,false,false,false,true,0
Input.server,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/Input/Input.server.tsx,fully-compatible,0,0,0,0,false,false,false,true,0
Input,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/Input/Input.tsx,fully-compatible,1,0,0,0,true,false,false,true,0
Input.types,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/Input/Input.types.ts,fully-compatible,0,0,0,0,false,false,false,true,0
InsetText.schema,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/InsetText/InsetText.schema.ts,fully-compatible,0,0,0,0,false,false,false,true,0
InsetText,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/InsetText/InsetText.tsx,fully-compatible,0,0,0,0,false,false,false,true,0
